,,,,,,,,,,,,
,,,,,,,,,,,,
Rv tag,Mb tag,Gene,Mb length,Rv length,Rv-2 tag,Rv-2 length,% ID,AA overlap,% ID-2,AA overlap-2,Annotation,Fxnal cat
Rv2144c,Mb2168c,, 118 aa, 118 aa ,,,100.00%,118 aa overlap,,,probable transmembrane protein,cell wall and cell processes
Rv2145c,Mb2169c,wag31, 260 aa, 260 aa ,,,100.00%,260 aa overlap,,,diviva family protein wag31,cell wall and cell processes
Rv2146c,Mb2170c,, 96 aa, 96 aa ,,,100.00%,96 aa overlap,,,possible conserved transmembrane protein,cell wall and cell processes
Rv2147c,Mb2171c,, 241 aa, 241 aa ,,,100.00%,241 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2148c,Mb2172c,, 258 aa, 258 aa ,,,100.00%,258 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2149c,Mb2173c,yfiH, 250 aa, 250 aa ,,,100.00%,250 aa overlap,,,conserved protein yfih,Conserved hypothetical protein
Rv2150c,Mb2174c,ftsZ, 379 aa, 379 aa ,,,100.00%,379 aa overlap,,,cell division protein ftsz,cell wall and cell processes
Rv2151c,Mb2175c,ftsQ, 314 aa, 314 aa ,,,100.00%,314 aa overlap,,,possible cell division protein ftsq,cell wall and cell processes
Rv2152c,Mb2176c,murC, 494 aa, 494 aa ,,,100.00%,494 aa overlap,,,probable udp-n-acetylmuramate-alanine ligase murc,cell wall and cell processes
Rv2154c,Mb2178c,ftsW, 524 aa, 524 aa ,,,100.00%,524 aa overlap,,,ftsw-like protein ftsw,cell wall and cell processes
Rv2156c,Mb2180c,murX, 359 aa, 359 aa ,,,100.00%,359 aa overlap,,,probable phospho-n-acetylmuramoyl-pentappeptidetransferase murx,cell wall and cell processes
Rv2157c,Mb2181c,murF, 510 aa, 510 aa ,,,100.00%,510 aa overlap,,,probable udp-n-acetylmuramoylalanyl-d-glutamyl-2c 6-diaminopimelate-d-alanyl-d-alanyl ligase murf,cell wall and cell processes
Rv2158c,Mb2182c,murE, 535 aa, 535 aa ,,,100.00%,535 aa overlap,,,probable udp-n-acetylmuramoylalanyl-d-glutamate-2c6-diaminopimelate ligase mure,cell wall and cell processes
Rv2159c,Mb2183c,, 344 aa, 344 aa ,,,100.00%,344 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2161c,Mb2185c,, 288 aa, 288 aa ,,,100.00%,288 aa overlap,,,conserved protein,intermediate metabolism and respiration
Rv2163c,Mb2187c,pbpB, 679 aa, 679 aa ,,,100.00%,679 aa overlap,,,probable penicillin-binding membrane protein pbpb,cell wall and cell processes
Rv2165c,Mb2189c,, 396 aa, 396 aa ,,,100.00%,396 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2166c,Mb2190c,, 143 aa, 143 aa ,,,100.00%,143 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2169c,Mb2191c,, 134 aa, 134 aa ,,,100.00%,134 aa overlap,,,probable conserved transmembrane protein,cell wall and cell processes
Rv2170,Mb2192,, 206 aa, 206 aa ,,,100.00%,206 aa overlap,,,gcn5-related n-acetyltransferase,intermediate metabolism and respiration
Rv2171,Mb2193,lppM, 227 aa, 227 aa ,,,100.00%,227 aa overlap,,,probable conserved lipoprotein lppm,cell wall and cell processes
Rv2172c,Mb2194c,, 301 aa, 301 aa ,,,100.00%,301 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2173,Mb2195,idsA2, 352 aa, 352 aa ,,,100.00%,352 aa overlap,,,probable geranylgeranyl pyrophosphate synthetase idsa2 ggppsase ggpp synthetase geranylgeranyl diphosphate synthase,lipid metabolism
Rv2179c,Mb2201c,, 168 aa, 168 aa ,,,100.00%,168 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2181,Mb2203,, 427 aa, 427 aa ,,,100.00%,427 aa overlap,,,alpha1->2mannosyltransferase,cell wall and cell processes
Rv2182c,Mb2204c,, 247 aa, 247 aa ,,,100.00%,247 aa overlap,,,1-acylglycerol-3-phosphate o-acyltransferase,Conserved hypothetical protein
Rv2183c,Mb2205c,, 131 aa, 131 aa ,,,100.00%,131 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2184c,Mb2206c,, 379 aa, 379 aa ,,,100.00%,379 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2185c,Mb2207c,TB16.3, 144 aa, 144 aa ,,,100.00%,144 aa overlap,,,conserved protein tb16.3,Conserved hypothetical protein
Rv2186c,Mb2208c,, 129 aa, 129 aa ,,,100.00%,129 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2188c,Mb2211c,pimb, 385 aa, 385 aa ,,,100.00%,385 aa overlap,,,mannosyltransferase pimb,lipid metabolism
Rv2189c,Mb2212c,, 257 aa, 257 aa ,,,100.00%,257 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2190c,Mb2213c,, 385 aa, 385 aa ,,,100.00%,385 aa overlap,,,conserved hypothetical protein,"virulence, detoxification,adaptation"
Rv2192c,Mb2215c,trpD, 370 aa, 370 aa ,,,100.00%,370 aa overlap,,,probable anthranilate phosphoribosyltransferase trpd,intermediate metabolism and respiration
Rv2193,Mb2216,ctaE, 203 aa, 203 aa ,,,100.00%,203 aa overlap,,,probable cytochrome c oxidase subunit iii ctae,intermediate metabolism and respiration
Rv2194,Mb2217,qcrC, 280 aa, 280 aa ,,,100.00%,280 aa overlap,,,probable ubiquinol-cytochrome c reductase qcrc cytochrome c subunit,intermediate metabolism and respiration
Rv2196,Mb2219,qcrB, 549 aa, 549 aa ,,,100.00%,549 aa overlap,,,probable ubiquinol-cytochrome c reductase qcrb cytochrome b subunit,intermediate metabolism and respiration
Rv2198c,Mb2221c,mmpS3, 299 aa, 299 aa ,,,100.00%,299 aa overlap,,,probable conserved membrane protein mmps3,cell wall and cell processes
Rv2199c,Mb2222c,, 139 aa, 139 aa ,,,100.00%,139 aa overlap,,,possible conserved integral membrane protein,cell wall and cell processes
Rv2200c,Mb2223c,ctaC, 363 aa, 363 aa ,,,100.00%,363 aa overlap,,,probable transmembrane cytochrome c oxidase subunit ii ctac,intermediate metabolism and respiration
Rv2201,Mb2224,asnB, 652 aa, 652 aa ,,,100.00%,652 aa overlap,,,probable asparagine synthetase asnb,intermediate metabolism and respiration
Rv2202c,Mb2225c,adok, 324 aa, 324 aa ,,,100.00%,324 aa overlap,,,adenosine kinase,intermediate metabolism and respiration
Rv2203,Mb2226,, 230 aa, 230 aa ,,,100.00%,230 aa overlap,,,possible conserved membrane protein,cell wall and cell processes
Rv2204c,Mb2227c,, 118 aa, 118 aa ,,,100.00%,118 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2205c,Mb2228c,, 358 aa, 358 aa ,,,100.00%,358 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2206,Mb2229,, 236 aa, 236 aa ,,,100.00%,236 aa overlap,,,probable conserved transmembrane protein,cell wall and cell processes
Rv2207,Mb2230,cobT, 361 aa, 361 aa ,,,100.00%,361 aa overlap,,,probable nicotinate-nucleotide-dimethylbenzimidazol phosphoribosyltransferase cobt,intermediate metabolism and respiration
Rv2209,Mb2232,, 512 aa, 512 aa ,,,100.00%,512 aa overlap,,,probable conserved integral membrane protein,cell wall and cell processes
Rv2211c,Mb2234c,gcvT, 379 aa, 379 aa ,,,100.00%,379 aa overlap,,,probable aminomethyltransferase gcvt glycine cleavage system t protein,intermediate metabolism and respiration
Rv2212,Mb2235,, 378 aa, 378 aa ,,,100.00%,378 aa overlap,,,adenylyl cyclase atp pyrophosphate-lyase adenylate cyclase,intermediate metabolism and respiration
Rv2214c,Mb2237c,ephD, 592 aa, 592 aa ,,,100.00%,592 aa overlap,,,possible short-chain dehydrogenase ephd,"virulence, detoxification,adaptation"
Rv2215,Mb2238,dlat, 553 aa, 553 aa ,,,100.00%,553 aa overlap,,,dlatc dihydrolipoamide acyltransferasec e2 component of pyruvate dehydrogenase,intermediate metabolism and respiration
Rv2216,Mb2239,, 301 aa, 301 aa ,,,100.00%,301 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2218,Mb2241,lipA, 311 aa, 311 aa ,,,100.00%,311 aa overlap,,,probable lipoate biosynthesis protein a lipa,intermediate metabolism and respiration
Rv2219A,Mb2243c,, 140 aa, 140 aa ,,,100.00%,140 aa overlap,,,probable conserved membrane protein,cell wall and cell processes
Rv2220,Mb2244,glnA1, 478 aa, 478 aa ,,,100.00%,478 aa overlap,,,glutamine synthetase glna1 glutamine synthase gs-i,intermediate metabolism and respiration
Rv2221c,Mb2245c,glnE, 994 aa, 994 aa ,,,100.00%,994 aa overlap,,,glutamate-ammonia-ligase adenylyltransferase glne glutamine-synthetase adenylyltransferase,intermediate metabolism and respiration
Rv2222c,Mb2246c,glnA2, 446 aa, 446 aa ,,,100.00%,446 aa overlap,,,probable glutamine synthetase glna2 glutamine synthase gs-ii,intermediate metabolism and respiration
Rv2223c,Mb2247c,, 520 aa, 520 aa ,,,100.00%,520 aa overlap,,,probable exported protease,cell wall and cell processes
Rv2224c,Mb2248c,caea, 520 aa, 520 aa ,,,100.00%,520 aa overlap,,,probable carboxylesterase caea,cell wall and cell processes
Rv2225,Mb2249,panB, 281 aa, 281 aa ,,,100.00%,281 aa overlap,,,3-methyl-2-oxobutanoate hydroxymethyltransferase panb,intermediate metabolism and respiration
Rv2228c,Mb2253c,, 364 aa, 364 aa ,,,100.00%,364 aa overlap,,,multifunctional protein. has rnase hcalpha-ribazole phosphatasec and acid phosphatase activities.,information pathways
Rv2230c,Mb2255c,, 379 aa, 379 aa ,,,100.00%,379 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2231A,Mb2256A,vapC16, 141 aa, 141 aa ,,,100.00%,141 aa overlap,,,possible toxin vapc16,"virulence, detoxification,adaptation"
Rv2231B,Mb2256B,vapB16, 58 aa, 58 aa ,,,100.00%,58 aa overlap,,,possible antitoxin vapb16,"virulence, detoxification,adaptation"
Rv2231c,Mb2256c,cobC, 364 aa, 364 aa ,,,100.00%,364 aa overlap,,,possible aminotransferase cobc,intermediate metabolism and respiration
Rv2232,Mb2257,ptka, 291 aa, 291 aa ,,,100.00%,291 aa overlap,,,protein tyrosine kinase transcriptional regulatory protein ptka,regulatory proteins
Rv2234,Mb2258,ptpA, 163 aa, 163 aa ,,,100.00%,163 aa overlap,,,phosphotyrosine protein phosphatase ptpa protein-tyrosine-phosphatase ptpase lmw phosphatase,regulatory proteins
Rv2235,Mb2259,, 271 aa, 271 aa ,,,100.00%,271 aa overlap,,,probable conserved transmembrane protein,cell wall and cell processes
Rv2237,Mb2261,, 255 aa, 255 aa ,,,100.00%,255 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2237A,Mb2261A,, 78 aa, 78 aa ,,,100.00%,78 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2238c,Mb2262c,ahpE, 153 aa, 153 aa ,,,100.00%,153 aa overlap,,,probable peroxiredoxin ahpe,"virulence, detoxification,adaptation"
Rv2239c,Mb2263c,, 158 aa, 158 aa ,,,100.00%,158 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2242,Mb2266,, 414 aa, 414 aa ,,,100.00%,414 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2243,Mb2267,fabD, 302 aa, 302 aa ,,,100.00%,302 aa overlap,,,malonyl coa-acyl carrier protein transacylase fabd malonyl coa:acpm acyltransferase mct,lipid metabolism
Rv2244,Mb2268,acpM, 115 aa, 115 aa ,,,100.00%,115 aa overlap,,,meromycolate extension acyl carrier protein acpm,lipid metabolism
Rv2245,Mb2269,kasA, 416 aa, 416 aa ,,,100.00%,416 aa overlap,,,3-oxoacyl-[acyl-carrier protein] synthase 1 kasa beta-ketoacyl-acp synthase kas i,lipid metabolism
Rv2246,Mb2270,kasB, 438 aa, 438 aa ,,,100.00%,438 aa overlap,,,3-oxoacyl-[acyl-carrier protein] synthase 2 kasb beta-ketoacyl-acp synthase kas i,lipid metabolism
Rv2247,Mb2271,accD6, 473 aa, 473 aa ,,,100.00%,473 aa overlap,,,acetyl/propionyl-coa carboxylase beta subunit accd6,lipid metabolism
Rv2249c,Mb2273c,glpD1, 516 aa, 516 aa ,,,100.00%,516 aa overlap,,,probable glycerol-3-phosphate dehydrogenase glpd1,intermediate metabolism and respiration
Rv2252,Mb2276,, 309 aa, 309 aa ,,,100.00%,309 aa overlap,,,diacylglycerol kinase,lipid metabolism
Rv2253,Mb2277,, 167 aa, 167 aa ,,,100.00%,167 aa overlap,,,possible secreted unknown protein,cell wall and cell processes
Rv2255c,Mb2279c,, 64 aa, 64 aa ,,,100.00%,64 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv2257c,Mb2281c,, 272 aa, 272 aa ,,,100.00%,272 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2258c,Mb2282c,, 353 aa,353 aa ,,,100.00%,353 aa overlap,,,possible transcriptional regulatory protein,regulatory proteins
Rv2259,Mb2283,mscr, 361 aa, 361 aa ,,,100.00%,361 aa overlap,,,s-nitrosomycothiol reductase mscr,intermediate metabolism and respiration
Rv2260,Mb2284,, 211 aa, 211 aa ,,,100.00%,211 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2263,Mb2286,, 317 aa, 317 aa ,,,100.00%,317 aa overlap,,,possible oxidoreductase,intermediate metabolism and respiration
Rv2264c,Mb2287c,, 592 aa, 592 aa ,,,100.00%,592 aa overlap,,,conserved hypothetical proline rich protein,Conserved hypothetical protein
Rv2265,Mb2288,, 409 aa, 409 aa ,,,100.00%,409 aa overlap,,,possible conserved integral membrane protein,cell wall and cell processes
Rv2266,Mb2289,cyp124, 428 aa, 428 aa ,,,100.00%,428 aa overlap,,,probable cytochrome p450 124 cyp124,intermediate metabolism and respiration
Rv2267c,Mb2290c,, 388 aa, 388 aa ,,,100.00%,388 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2268c,Mb2291c,cyp128, 489 aa, 489 aa ,,,100.00%,489 aa overlap,,,probable cytochrome p450 128 cyp128,intermediate metabolism and respiration
Rv2269c,Mb2292c,, 110 aa, 110 aa ,,,100.00%,110 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv2271,Mb2294,, 99 aa, 99 aa ,,,100.00%,99 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2272,Mb2295,, 122 aa, 122 aa ,,,100.00%,122 aa overlap,,,probable conserved transmembrane protein,cell wall and cell processes
Rv2273,Mb2296,, 109 aa, 109 aa ,,,100.00%,109 aa overlap,,,probable conserved transmembrane protein,cell wall and cell processes
Rv2274A,Mb2297A,mazE8, 82 aa, 82 aa ,,,100.00%,82 aa overlap,,,possible antitoxin maze8,"virulence, detoxification,adaptation"
Rv2275,Mb2298,, 289 aa, 289 aa ,,,100.00%,289 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2276,Mb2299,cyp121, 396 aa, 396 aa ,,,100.00%,396 aa overlap,,,cytochrome p450 121 cyp121,intermediate metabolism and respiration
Rv2280,Mb2301,, 459 aa, 459 aa ,,,100.00%,459 aa overlap,,,probable dehydrogenase,intermediate metabolism and respiration
Rv2281,Mb2302,pitB, 552 aa, 552 aa ,,,100.00%,552 aa overlap,,,putative phosphate-transport permease pitb,cell wall and cell processes
Rv2282c,Mb2303c,, 312 aa, 312 aa ,,,100.00%,312 aa overlap,,,probable transcription regulator lysr family,regulatory proteins
Rv2283,Mb2304,, 64 aa, 64 aa ,,,100.00%,64 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv2284,Mb2305,lipM, 431 aa, 431 aa ,,,100.00%,431 aa overlap,,,probable esterase lipm,intermediate metabolism and respiration
Rv2285,Mb2306,, 445 aa, 445 aa ,,,100.00%,445 aa overlap,,,possible triacylglycerol synthase diacylglycerol acyltransferase,lipid metabolism
Rv2287,Mb2309,yjcE, 542 aa, 542 aa ,,,100.00%,542 aa overlap,,,probable conserved integral membrane transport protein yjce,cell wall and cell processes
Rv2288,Mb2310,, 125 aa, 125 aa ,,,100.00%,125 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv2289,Mb2311,cdh, 260 aa, 260 aa ,,,100.00%,260 aa overlap,,,probable cdp-diacylglycerol pyrophosphatase cdh cdp-diacylglycerol diphosphatase cdp-diacylglycerol phosphatidylhydrolase,lipid metabolism
Rv2294,Mb2316,, 407 aa, 407 aa ,,,100.00%,407 aa overlap,,,probable aminotransferase,intermediate metabolism and respiration
Rv2295,Mb2317,, 212 aa, 212 aa ,,,100.00%,212 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2296,Mb2318,, 300 aa, 300 aa ,,,100.00%,300 aa overlap,,,probable haloalkane dehalogenase,intermediate metabolism and respiration
Rv2297,Mb2319,, 150 aa, 150 aa ,,,100.00%,150 aa overlap,,,unknown protein,Conserved hypothetical protein
Rv2298,Mb2320,, 323 aa, 323 aa ,,,100.00%,323 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2299c,Mb2321c,htpG, 647 aa, 647 aa ,,,100.00%,647 aa overlap,,,probable chaperone protein htpg heat shock protein hsp90 family protein high temperature protein g,"virulence, detoxification,adaptation"
Rv2300c,Mb2322c,, 310 aa, 310 aa ,,,100.00%,310 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2301,Mb2323,cut2, 230 aa, 230 aa ,,,100.00%,230 aa overlap,,,probable cutinase cut2,cell wall and cell processes
Rv2302,Mb2324,, 80 aa, 80 aa ,,,100.00%,80 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2303c,Mb2325c,, 307 aa, 307 aa ,,,100.00%,307 aa overlap,,,probable antibiotic-resistance protein,"virulence, detoxification,adaptation"
Rv2304c,Mb2326c,, 69 aa, 69 aa ,,,100.00%,69 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv2306B,Mb2329,, 144 aa, 144 aa ,,,100.00%,144 aa overlap,,,possible conserved membrane protein,cell wall and cell processes
Rv2307A,Mb2331c,, 63 aa, 63 aa ,,,100.00%,63 aa overlap,,,hypothetical glycine rich protein,Conserved hypothetical protein
Rv2307B,Mb2332c,, 143 aa, 143 aa ,,,100.00%,143 aa overlap,,,hypothetical glycine rich protein,Conserved hypothetical protein
Rv2307D,Mb2333c,, 60 aa, 60 aa ,,,100.00%,60 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv2309c,Mb2335c,, 151 aa, 151 aa ,,,100.00%,151 aa overlap,,,possible integrase fragment,insertion seqs and phages
Rv2310,Mb2337,, 114 aa, 114 aa ,,,100.00%,114 aa overlap,,,possible excisionase,insertion seqs and phages
Rv2311,Mb2338,, 174 aa, 174 aa ,,,100.00%,174 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2312,Mb2339,, 89 aa, 89 aa ,,,100.00%,89 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv2313c,Mb2340c,, 284 aa, 284 aa ,,,100.00%,284 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv2314c,Mb2341c,, 457 aa, 457 aa ,,,100.00%,457 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2315c,Mb2342c,, 515 aa, 515 aa ,,,100.00%,505 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2317,Mb2344,uspB, 274 aa, 274 aa ,,,100.00%,274 aa overlap,,,probable sugar-transport integral membrane protein abc transporter uspb,cell wall and cell processes
Rv2319c,Mb2346c,, 292 aa, 292 aa ,,,100.00%,292 aa overlap,,,universal stress protein family protein,"virulence, detoxification,adaptation"
Rv2320c,Mb2347c,rocE, 476 aa, 476 aa ,,,100.00%,476 aa overlap,,,probable cationic amino acid transport integral membrane protein roce,cell wall and cell processes
Rv2321c,Mb2348c,rocD2, 181 aa, 181 aa ,,,100.00%,181 aa overlap,,,probable ornithine aminotransferase c-terminus part rocd2 ornithine--oxo-acid aminotransferase,intermediate metabolism and respiration
Rv2322c,Mb2349c,rocD1, 221 aa, 221 aa ,,,100.00%,221 aa overlap,,,probable ornithine aminotransferase n-terminus part rocd1 ornithine--oxo-acid aminotransferase,intermediate metabolism and respiration
Rv2324,Mb2351,, 148 aa, 148 aa ,,,100.00%,148 aa overlap,,,probable transcriptional regulatory protein probably asnc-family,regulatory proteins
Rv2325c,Mb2352c,, 282 aa, 282 aa ,,,100.00%,282 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2326c,Mb2353c,, 697 aa, 697 aa ,,,100.00%,697 aa overlap,,,possible transmembrane atp-binding protein abc transporter,cell wall and cell processes
Rv2327,Mb2354,, 163 aa, 163 aa ,,,100.00%,163 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2328,Mb2355,PE23, 382 aa, 382 aa ,,,100.00%,382 aa overlap,,,pe family protein pe23,PE/PPE
Rv2329c,Mb2356c,narK1, 515 aa, 515 aa ,,,100.00%,515 aa overlap,,,probable nitrite extrusion protein 1 nark1 nitrite facilitator 1,cell wall and cell processes
Rv2330c,Mb2357c,lppP, 175 aa, 175 aa ,,,100.00%,175 aa overlap,,,probable lipoprotein lppp,cell wall and cell processes
Rv2331,Mb2358,, 128 aa, 128 aa ,,,100.00%,128 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv2334,Mb2362,cysK1, 310 aa, 310 aa ,,,100.00%,310 aa overlap,,,cysteine synthase a cysk1 o-acetylserine sulfhydrylase a o-acetylserine thiol-lyase a csase a,intermediate metabolism and respiration
Rv2335,Mb2363,cysE, 229 aa, 229 aa ,,,100.00%,229 aa overlap,,,probable serine acetyltransferase cyse sat,intermediate metabolism and respiration
Rv2336,Mb2364,, 322 aa, 322 aa ,,,100.00%,322 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv2338c,Mb2366c,moeW, 318 aa, 318 aa ,,,100.00%,318 aa overlap,,,possible molybdopterin biosynthesis protein moew,intermediate metabolism and respiration
Rv2340c,Mb2369c,PE_PGRS39, 413 aa, 413 aa ,,,100.00%,413 aa overlap,,,pe-pgrs family protein pe_pgrs39,PE/PPE
Rv2341,Mb2370,lppQ, 139 aa, 139 aa ,,,100.00%,139 aa overlap,,,probable conserved lipoprotein lppq,cell wall and cell processes
Rv2342,Mb2371,, 85 aa, 85 aa ,,,100.00%,85 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2343c,Mb2372c,dnaG, 639 aa, 639 aa ,,,100.00%,639 aa overlap,,,probable dna primase dnag,information pathways
Rv2344c,Mb2373c,dgt, 431 aa, 431 aa ,,,100.00%,431 aa overlap,,,probable deoxyguanosine triphosphate triphosphohydrolase dgt dgtpase dgtp triphosphohydrolase,intermediate metabolism and respiration
Rv2345,Mb2374,, 660 aa, 660 aa ,,,100.00%,660 aa overlap,,,possible conserved transmembrane protein,cell wall and cell processes
Rv2357c,Mb2378c,glyS, 463 aa, 463 aa ,,,100.00%,463 aa overlap,,,probable glycyl-trna synthetase glys glycine--trna ligase glyrs,information pathways
Rv2358,Mb2379,smtb, 135 aa, 135 aa ,,,100.00%,135 aa overlap,,,probable transcriptional regulatory protein smtb probably arsr-family,regulatory proteins
Rv2361c,Mb2382c,, 296 aa, 296 aa ,,,100.00%,296 aa overlap,,,long c50 chain z-isoprenyl diphosphate synthase z-decaprenyl diphosphate synthase,cell wall and cell processes
Rv2362c,Mb2383c,reco, 265 aa, 265 aa ,,,100.00%,265 aa overlap,,,possible dna repair protein reco,information pathways
Rv2363,Mb2384,amiA2, 484 aa, 484 aa ,,,100.00%,484 aa overlap,,,probable amidase amia2 aminohydrolase,intermediate metabolism and respiration
Rv2364c,Mb2385c,era, 300 aa, 300 aa ,,,100.00%,300 aa overlap,,,probable gtp-binding protein era,intermediate metabolism and respiration
Rv2365c,Mb2386c,, 113 aa, 113 aa ,,,100.00%,113 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2366c,Mb2387c,, 435 aa, 435 aa ,,,100.00%,435 aa overlap,,,probable conserved transmembrane protein,cell wall and cell processes
Rv2367c,Mb2388c,, 182 aa, 182 aa ,,,100.00%,182 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2368c,Mb2389c,phoH1, 352 aa, 352 aa ,,,100.00%,352 aa overlap,,,probable phoh-like protein phoh1 phosphate starvation-inducible protein psih,intermediate metabolism and respiration
Rv2369c,Mb2390c,, 100 aa, 100 aa ,,,100.00%,100 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv2370c,Mb2391c,, 437 aa, 437 aa ,,,100.00%,437 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2371,Mb2392,PE_PGRS40, 61 aa, 61 aa ,,,100.00%,61 aa overlap,,,pe-pgrs family protein pe_pgrs40,PE/PPE
Rv2372c,Mb2393c,, 262 aa, 262 aa ,,,100.00%,262 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2373c,Mb2394c,dnaJ2, 382 aa, 382 aa ,,,100.00%,382 aa overlap,,,probable chaperone protein dnaj2,"virulence, detoxification,adaptation"
Rv2374c,Mb2395c,hrcA, 343 aa, 343 aa ,,,100.00%,343 aa overlap,,,probable heat shock protein transcriptional repressor hrca,"virulence, detoxification,adaptation"
Rv2375,Mb2396,, 105 aa, 105 aa ,,,100.00%,105 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv2376c,Mb2397c,cfp2, 168 aa, 168 aa ,,,100.00%,168 aa overlap,,,low molecular weight antigen cfp2 low molecular weight protein antigen 2 cfp-2,cell wall and cell processes
Rv2378c,Mb2399c,mbtG, 431 aa, 431 aa ,,,100.00%,431 aa overlap,,,lysine-n-oxygenase mbtg l-lysine 6-monooxygenase lysine n6-hydroxylase,lipid metabolism
Rv2380c,Mb2401c,mbtE, 1682 aa, 1682 aa ,,,100.00%,1682 aa overlap,,,peptide synthetase mbte peptide synthase,lipid metabolism
Rv2381c,Mb2402c,mbtD, 1004 aa, 1004 aa ,,,100.00%,1004 aa overlap,,,polyketide synthetase mbtd polyketide synthase,lipid metabolism
Rv2382c,Mb2403c,mbtC, 444 aa, 444 aa ,,,100.00%,444 aa overlap,,,polyketide synthetase mbtc polyketide synthase,lipid metabolism
Rv2384,Mb2405,mbtA, 565 aa, 565 aa ,,,100.00%,565 aa overlap,,,bifunctional enzyme mbta: salicyl-amp ligase sal-amp ligase b salicyl-s-arcp synthetase,lipid metabolism
Rv2385,Mb2406,mbtJ, 306 aa, 306 aa ,,,100.00%,306 aa overlap,,,putative acetyl hydrolase mbtj,lipid metabolism
Rv2386c,Mb2407c,mbtI, 450 aa, 450 aa ,,,100.00%,450 aa overlap,,,isochorismate synthase mbti,lipid metabolism
Rv2387,Mb2408,, 417 aa, 417 aa ,,,100.00%,417 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv2389c,Mb2410c,rpfD, 154 aa, 154 aa ,,,100.00%,154 aa overlap,,,probable resuscitation-promoting factor rpfd,cell wall and cell processes
Rv2391,Mb2412,sira, 563 aa, 563 aa ,,,100.00%,563 aa overlap,,,ferredoxin-dependent sulfite reductase sira,intermediate metabolism and respiration
Rv2392,Mb2413,cysH, 254 aa, 254 aa ,,,100.00%,254 aa overlap,,,probable 3'-phosphoadenosine 5'-phosphosulfate reductase cysh paps reductasec thioredoxin dep. padops reductase 3'-phosphoadenylylsulfate reductase paps sulfotransferase,intermediate metabolism and respiration
Rv2393,Mb2414,che1, 281 aa, 281 aa ,,,100.00%,281 aa overlap,,,ferrochelatase che1,intermediate metabolism and respiration
Rv2395A,Mb2417A,aprA, 71 aa, 71 aa ,,,100.00%,71 aa overlap,,,acid and phagosome regulated protein a apra,Conserved hypothetical protein
