Mbovis	Mtb	gene	func_cat	i/v	alteration	ess_bovis	ess_mtb
Mb1855	Rv1824	-	cell wall and cell processes	Identical		NE	NE
Mb1856	Rv1825	-	Conserved hypothetical protein	Identical		NE	NE
Mb1857	Rv1826	gcvH	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	ES
Mb1858	Rv1827	cfp17	virulence, detoxification,adaptation	Identical		NE	GD
Mb1859	Rv1828	-	Conserved hypothetical protein	Identical		NE	GD
Mb1860	Rv1829	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb1861	Rv1830	-	Conserved hypothetical protein	Identical		NE	GD
Mb1862	Rv1831	-	Conserved hypothetical protein	Identical		GD	GA
Mb1863	Rv1832	gcvB	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	ES
Mb1864c	Rv1833c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb1865	Rv1834	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb1866c	Rv1835c	-	Conserved hypothetical protein	Identical		NE	GA
Mb1867c	Rv1836c	-	conserved hypotheticals	Variable	Non-syn SNP(s)	ES	NE
Mb1868c	Rv1837c	glcB	intermediate metabolism and respiration	Identical		NE	ES
Mb1869c	Rv1838c	-	virulence, detoxification,adaptation	Identical		NE	GA
Mb1870c	Rv1839c	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb1871c	Rv1840c	PE_PGRS34	PE/PPE	Variable	Elongated protein in M. bovis	NE	NE
Mb1872c	Rv1841c	-	cell wall and cell processes	Variable	Insertion, Elongated protein in M. bovis AF2122/97	NE	NE
Mb1873c	Rv1842c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb1874c	Rv1843c	guaB1	intermediate metabolism and respiration	Identical		NE	GA
Mb1875c	Rv1844c	gnd1	intermediary metabolism and respiration	Variable	Elongated protein in M. bovis AF2122/97	NE	GA
Mb1876c	Rv1845c	-	cell wall and cell processes	Identical		NE	NE
Mb1877c	Rv1846c	-	regulatory proteins	Variable	Non-syn SNP(s)	NE	NE
Mb1878	Rv1847	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb1879	Rv1848	ureA	intermediate metabolism and respiration	Identical		NE	NE
Mb1880	Rv1849	ureB	intermediate metabolism and respiration	Identical		NE	NE
Mb1881	Rv1850	ureC	intermediate metabolism and respiration	Identical		NE	NE
Mb1882	Rv1851	ureF	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb1883	Rv1852	ureG	intermediate metabolism and respiration	Identical		NE	NE
Mb1884	Rv1853	ureD	intermediate metabolism and respiration	Identical		ES	NE
Mb1885c	Rv1854c	ndh	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	GD
Mb1886c	Rv1855c	-	intermediate metabolism and respiration	Identical		NE	GA
Mb1887c	Rv1856c	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	GA
Mb1888	Rv1857	modA	cell wall and cell processes	Identical		NE	GA
Mb1889	Rv1858	modB	cell wall and cell processes	Identical		NE	NE
Mb1890	Rv1859	modC	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb1891	Rv1860	apa	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb1892	Rv1861	-	cell wall and cell processes	Identical		NE	NE
Mb1893	Rv1862	adhA	intermediate metabolism and respiration	Identical		NE	NE
Mb1894c	Rv1863c	-	cell wall and cell processes	Identical		NE	NE
Mb1895c	Rv1864c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1896c	Rv1865c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb1897	Rv1866	-	lipid metabolism	Variable	Non-syn SNP(s)	NE	NE
Mb1898	Rv1867	-	lipid metabolism	Identical		NE	NE
Mb1899	Rv1868	-	Conserved hypothetical protein	Identical		NE	NE
Mb1900c	Rv1869c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb1901c	Rv1870c	-	conserved hypotheticals	Variable	Elongated protein in M. bovis AF2122/97	NE	NE
Mb1902c	Rv1871c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1903c	Rv1872c	lldD2	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb1904	Rv1873	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	GA
Mb1905	Rv1874	-	Conserved hypothetical protein	Identical		NE	GA
Mb1906	Rv1875	-	Conserved hypothetical protein	Identical		NE	GA
Mb1907	Rv1876	bfrA	intermediate metabolism and respiration	Identical		NE	GA
Mb1908	Rv1877	-	cell wall and cell processes	Variable	Frameshift in M. bovis AF2122/97	NE	GA
Mb1909	Rv1877	-	cell wall and cell processes	Variable	Frameshift in M. bovis AF2122/97	NE	GA
Mb1910	Rv1878	glnA3	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb1911	Rv1879	-	Conserved hypothetical protein	Identical		NE	NE
Mb1912c	Rv1880c	cyp140	intermediate metabolism and respiration	Identical		NE	NE
Mb1913c	Rv1881c	lppE	cell wall and cell processes	Identical		NE	GA
Mb1914c	Rv1882c	-	intermediate metabolism and respiration	Identical		NE	GA
Mb1915c	Rv1883c	-	conserved hypotheticals	Variable	Elongated protein in M. bovis AF2122/97	NE	GA
Mb1916c	Rv1884c	rpfC	cell wall and cell processes	Identical		NE	GA
Mb1917c	Rv1885c	-	intermediate metabolism and respiration	Identical		NE	GA
Mb1918c	Rv1886c	fbpB	lipid metabolism	Identical		NE	GA
Mb1919	Rv1887	-	Conserved hypothetical protein	Identical		NE	NE
Mb1920c	Rv1888c	-	cell wall and cell processes	Variable	Insertion, Elongated protein in M. bovis AF2122/97	NE	0
Mb1921c	Rv1888A	-	Conserved hypothetical protein	Identical		NE	0
Mb1922c	Rv1889c	-	Conserved hypothetical protein	Identical		NE	0
Mb1923c	Rv1890c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1924	Rv1891	-	Conserved hypothetical protein	Identical		NE	NE
Mb1925	Rv1892	-	cell wall and cell processes	Identical		NE	NE
Mb1926	Rv1893	-	Conserved hypothetical protein	Identical		NE	NE
Mb1927c	Rv1894c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1928	Rv1895	-	intermediary metabolism and respiration	Variable	Frameshift in M. bovis AF2122/97	NE	NE
Mb1929	Rv1895	-	intermediary metabolism and respiration	Variable	Frameshift in M. bovis AF2122/97	NE	NE
Mb1931c	Rv1896c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1932c	Rv1897c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1933	Rv1898	-	Conserved hypothetical protein	Identical		NE	NE
Mb1934c	Rv1899c	lppD	cell wall and cell processes	Variable	Elongated protein in M. bovis AF2122/97	NE	NE
Mb1935c	Rv1900c	lipJ	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb1936	Rv1901	cinA	virulence, detoxification,adaptation	Identical		NE	NE
Mb1937c	Rv1902c	nanT	cell wall and cell processes	Identical		NE	NE
Mb1938	Rv1903	-	cell wall and cell processes	Identical		NE	GA
Mb1939	Rv1904	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	GA
Mb1940c	Rv1905c	aao	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb1941c	Rv1906c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1942c	Rv1907c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1943c	Rv1908c	katG	virulence, detoxification, adaptation	Variable	Non-syn SNP(s)	NE	NE
Mb1944c	Rv1909c	len: 147 aa. Equivalent to Rv1909c len: 147 aa	regulatory proteins	Identical		NE	NE
Mb1945c	Rv1910c	-	cell wall and cell processes	Identical		NE	NE
Mb1946c	Rv1911c	lppC	cell wall and cell processes	Identical		NE	NE
Mb1947c	Rv1912c	fadB5	lipid metabolism	Variable	Non-syn SNP(s)	NE	NE
Mb1948	Rv1913	-	Conserved hypothetical protein	Identical		NE	NE
Mb1949c	Rv1914c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1950	Rv1915	aceA	intermediary metabolism and respiration	Variable	Base insertion(s) leading to gene fusion event in M. bovis AF2122/97	NE	NE
Mb1951c	Rv1917c	PPE34	PE/PPE	Variable	Elongated protein in M. bovis	NE	NE
Mb1952c	Rv1918c	PPE35b	PE/PPE	Variable	Frameshift in M. bovis	NE	NE
Mb1953c	Rv1918c	PPE35a	PE/PPE	Variable	Frameshift in M. bovis	NE	NE
Mb1954c	Rv1919c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1955	Rv1920	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb1956c	Rv1921c	lppF	cell wall and cell processes	Identical		NE	NE
Mb1957	Rv1922	-	cell wall and cell processes	Identical		NE	NE
Mb1958	Rv1923	lipD	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	GA
Mb1959c	Rv1924c	-	Conserved hypothetical protein	Identical		NE	GA
Mb1960	Rv1925	fadD31	lipid metabolism	Identical		NE	GA
Mb1961c	Rv1926c	mpt63	cell wall and cell processes	Identical		NE	GA
Mb1962	Rv1927	-	Conserved hypothetical protein	Identical		NE	NE
Mb1963c	Rv1928c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb1964c	Rv1929c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1965c	Rv1930c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1966c	Rv1931c	-	regulatory proteins	Identical		NE	NE
Mb1967	Rv1932	tpx	virulence, detoxification,adaptation	Identical		NE	NE
Mb1968c	Rv1933c	fadE18	lipid metabolism	Identical		NE	NE
Mb1969c	Rv1934c	fadE17	lipid metabolism	Identical		NE	NE
Mb1970c	Rv1935c	echA13	lipid metabolism	Identical		NE	NE
Mb1971	Rv1936	-	intermediate metabolism and respiration	Identical		NE	NE
Mb1972	Rv1937	-	intermediate metabolism and respiration	Identical		NE	NE
Mb1973	Rv1938	ephB	virulence, detoxification,adaptation	Identical		NE	NE
Mb1974	Rv1939	-	intermediary metabolism and respiration	Variable	Elongated protein in M. bovis AF2122/97	NE	NE
Mb1975	Rv1940	ribA1	intermediate metabolism and respiration	Identical		NE	NE
Mb1976	Rv1941	-	intermediate metabolism and respiration	Identical		NE	NE
Mb1977c	Rv1942c	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb1978c	Rv1943c	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb1979c	Rv1944c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1980	Rv1945	-	insertion seqs and phages	Variable	Non-syn SNP(s)	NE	NE
Mb1981c	Rv1946c	lppG	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb1982	Rv1947	-	Conserved hypothetical protein	Identical		NE	NE
Mb1983c	Rv1948c	-	conserved hypotheticals 	Variable	Non-syn SNP(s)	NE	NE
Mb1984c	Rv1949c	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	0
Mb1985c	Rv1950c	-	Conserved hypothetical protein	Identical		NE	GA
Mb1986c	Rv1951c	-	Conserved hypothetical protein	Identical		NE	GA
Mb1987	Rv1952	-	virulence, detoxification,adaptation	Identical		NE	GA
Mb1988	Rv1953	-	virulence, detoxification,adaptation	Identical		NE	GA
Mb1988A	Rv1954A	len: 100 aa. Equivalent to Rv1954A len: 100 aa	Conserved hypothetical protein	Variable	Non-syn SNP(s)	NE	0
Mb1989c	Rv1954c	-	conserved hypotheticals 	Variable	Non-syn SNP(s)	NE	GA
Mb1990	Rv1955	-	virulence, detoxification,adaptation	Identical		NE	GA
Mb1991	Rv1956	-	virulence, detoxification,adaptation	Identical		NE	GA
Mb1992	Rv1957	-	Conserved hypothetical protein	Identical		NE	GA
Mb1993c	Rv1958c	-	Conserved hypothetical protein	Identical		NE	GA
Mb1994c	Rv1959c	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb1995c	Rv1960c	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb1996	Rv1961	-	Conserved hypothetical protein	Identical		NE	NE
Mb1997A	Rv1962A	len: 90 aa. Equivalent to Rv1962A len: 90 aa	virulence, detoxification,adaptation	Identical		NE	NE
Mb1997c	Rv1962c	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb1998c	Rv1963c	-	regulatory proteins	Identical		NE	NE
Mb1999	Rv1964	yrbE3A	virulence, detoxification, adaptation	Variable	Truncation, RD7	NE	NE
Mb2000	Rv1978	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb2001c	Rv1979c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	GA
Mb2002c	Rv1980c	-	cell wall and cell processes	Identical		NE	GA
Mb2003c	Rv1981c	nrdF1	information pathways	Variable	Non-syn SNP(s)	NE	GA
Mb2004A	Rv1982A	len: 86 aa. Equivalent to Rv1982A len: 86 aa	virulence, detoxification,adaptation	Identical		NE	GA
Mb2004c	Rv1982c	-	virulence, detoxification,adaptation	Identical		NE	GA
Mb2005	Rv1983	PE_PGRS35	PE/PPE	Variable	Non-syn SNP(s)	NE	GA
Mb2006c	Rv1984c	cfp21	cell wall and cell processes	Identical		NE	GA
Mb2007c	Rv1985c	-	regulatory proteins	Identical		NE	NE
Mb2008	Rv1986	-	cell wall and cell processes	Identical		NE	NE
Mb2009	Rv1987	-	cell wall and cell processes	Identical		NE	NE
Mb2010	Rv1988	-	intermediate metabolism and respiration	Identical		NE	NE
Mb2011c	Rv1989c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2012c	Rv1990c	-	regulatory proteins	Identical		NE	NE
Mb2013c	Rv1990A	-	intermediate metabolism and respiration	Identical		NE	0
Mb2014A	Rv1991A	len: 82 aa. Equivalent to Rv1991A len: 82 aa	virulence, detoxification,adaptation	Identical		NE	NE
Mb2014c	Rv1991c	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb2015c	Rv1992c	ctpG	cell wall and cell processes	Identical		NE	NE
Mb2016c	Rv1993c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2017c	Rv1994c	-	regulatory proteins	Identical		NE	NE
Mb2018	Rv1995	-	Conserved hypothetical protein	Identical		NE	GA
Mb2019	Rv1996	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb2020	Rv1997	ctpF	cell wall and cell processes	Identical		NE	NE
Mb2021c	Rv1998c	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb2022c	Rv1999c	-	cell wall and cell processes	Identical		NE	NE
Mb2023	Rv2000	-	Conserved hypothetical protein	Identical		NE	NE
Mb2024	Rv2001	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb2025	Rv2002	fabG3	lipid metabolism	Identical		NE	NE
Mb2026c	Rv2003c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2027c	Rv2004c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2028c	Rv2005c	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb2029	Rv2006	otsB1	virulence, detoxification, adaptation	Variable	Non-syn SNP(s)	NE	NE
Mb2030c	Rv2007c	fdxA	intermediate metabolism and respiration	Identical		NE	NE
Mb2031c	Rv2008c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2032	Rv2009	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb2033	Rv2010	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb2034c	Rv2011c	-	regulatory proteins	Identical		NE	NE
Mb2035	Rv2012	-	Conserved hypothetical protein	Identical		NE	NE
Mb2036	Rv2013	-	insertion seqs and phages	Variable	Elongated protein in M. bovis AF2122/97	NE	0
Mb2037	Rv2014	-	insertion seqs and phages	Identical		NE	0
Mb2038c	Rv2015c	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb2039	Rv2016	-	Conserved hypothetical protein	Identical		NE	NE
Mb2040	Rv2017	-	regulatory proteins	Variable	Non-syn SNP(s)	NE	ES
Mb2041	Rv2018	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb2042	Rv2019	-	Conserved hypothetical protein	Identical		NE	NE
Mb2043c	Rv2020c	-	Conserved hypothetical protein	Identical		NE	0
Mb2044c	Rv2021c	-	regulatory proteins	Identical		NE	NE
Mb2045c	Rv2022c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2046c	Rv2023c	-	Conserved hypothetical protein	Identical		ES	NE
Mb2047c		-			RD region	NE	0
Mb2048c		-			RD region	NE	0
Mb2049c	Rv2024c	RvD1-Rv2024c	conserved hypotheticals	Variable	Elongation, RD region	NE	NE
Mb2050c	Rv2025c	-	cell wall and cell processes	Identical		NE	NE
Mb2051c	Rv2026c	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb2052c	Rv2027c	-	regulatory proteins	Variable	Non-syn SNP(s)	NE	NE
Mb2053c	Rv2028c	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb2054c	Rv2029c	pfkB	intermediate metabolism and respiration	Identical		NE	NE
Mb2055c	Rv2030c	-	conserved hypotheticals	Variable	Frameshift in M. bovis AF2122/97	NE	NE
Mb2056c	Rv2030c	-	conserved hypotheticals	Variable	Frameshift in M. bovis AF2122/97	NE	NE
Mb2057c	Rv2031c	hspX	virulence, detoxification,adaptation	Identical		NE	NE
Mb2058	Rv2032	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb2059c	Rv2033c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2060	Rv2034	-	regulatory proteins	Identical		NE	NE
Mb2061	Rv2035	-	Conserved hypothetical protein	Identical		NE	NE
Mb2062	Rv2036	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	GD	NE
Mb2063c	Rv2037c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	GD	NE
Mb2064c	Rv2038c	-	cell wall and cell processes	Identical		NE	NE
Mb2065c	Rv2039c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb2066c	Rv2040c	-	cell wall and cell processes	Identical		NE	NE
Mb2067c	Rv2041c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb2068c	Rv2042c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2069c	Rv2043c	pncA	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb2070c	Rv2044c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2071c	Rv2045c	lipT	intermediate metabolism and respiration	Identical		NE	NE
Mb2072	Rv2046	lppI	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb2073c	Rv2047c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2074c	Rv2048c	pks12	lipid metabolism	Variable	Non-syn SNP(s)	NE	NE
Mb2075c	Rv2049c	-	Conserved hypothetical protein	Identical		ES	NE
Mb2076	Rv2050	-	Conserved hypothetical protein	Identical		NE	GD
Mb2077c	Rv2051c	ppm1	cell wall and cell processes	Identical		NE	NE
Mb2078c	Rv2052c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2079c	Rv2053c	-	cell wall and cell processes	Identical		NE	GA
Mb2080	Rv2054	-	Conserved hypothetical protein	Identical		NE	GA
Mb2081c	Rv2055c	rpsR2	information pathways	Identical		NE	GA
Mb2082c	Rv2056c	rpsN2	information pathways	Identical		NE	GA
Mb2083c	Rv2057c	rpmG1	information pathways	Identical		NE	GA
Mb2084c	Rv2058c	rpmB2	information pathways	Identical		NE	GA
Mb2085	Rv2059	-	Conserved hypothetical protein	Identical		NE	NE
Mb2086	Rv2060	-	cell wall and cell processes	Identical		NE	NE
Mb2087c	Rv2061c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2088c	Rv2062c	cobN	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb2089	Rv2063	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb2089A	Rv2063A	len: 136 aa. Equivalent to Rv2063A len: 136 aa	virulence, detoxification,adaptation	Identical		NE	NE
Mb2090	Rv2064	cobG	intermediate metabolism and respiration	Identical		NE	NE
Mb2091	Rv2065	cobH	intermediate metabolism and respiration	Identical		NE	NE
Mb2092	Rv2066	cobI	intermediate metabolism and respiration	Identical		NE	NE
Mb2093c	Rv2067c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2094c	Rv2068c	blaC	intermediate metabolism and respiration	Identical		NE	NE
Mb2095	Rv2069	sigC	information pathways	Identical		NE	NE
Mb2096c	Rv2070c	cobK	intermediary metabolism and respiration	Variable	Truncated protein in M. bovis AF2122/97	NE	NE
Mb2097c	Rv2071c	cobM	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb2098c	Rv2072c	cobLb	intermediary metabolism and respiration	Variable	Frameshift in M. bovis AF2122/97	NE	NE
Mb2099c	Rv2072c	cobLa	intermediary metabolism and respiration	Variable	Frameshift in M. bovis AF2122/97	NE	NE
Mb2100c	Rv2075c	-	intermediary metabolism and respiration	Variable	Truncation, RD region	NE	NE
Mb2101c	Rv2076c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2102c	Rv2077c	-	cell wall and cell processes	Identical		NE	NE
Mb2103c	Rv2077A	-	Conserved hypothetical protein	Identical		NE	NE
Mb2104	Rv2078	-	conserved hypotheticals 	Variable	Non-syn SNP(s)	NE	NE
Mb2105	Rv2079	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb2106	Rv2080	lppJ	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb2107c	Rv2081c	-	cell wall and cell processes	Variable	Elongated protein in M. bovis AF2122/97	NE	NE
Mb2108	Rv2082	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb2109	Rv2083	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb2110	Rv2084	-	conserved hypotheticals 	Variable	Frameshift in M. bovis AF2122/97	NE	NE
Mb2111 found to be expressed during exponential growth in Sauton's minimal media by RNA-sequencing.		Mb2111				NE	0
Mb2112	Rv2085	-	Conserved hypothetical protein	Identical		NE	NE
Mb2113	Rv2086	-	Conserved hypothetical protein	Identical		NE	NE
Mb2114	Rv2087	-	Conserved hypothetical protein	Identical		NE	0
Mb2115	Rv2088	pknJ	regulatory proteins	Identical		NE	NE
Mb2116c	Rv2089c	pepE	intermediate metabolism and respiration	Identical		NE	NE
Mb2117	Rv2090	-	information pathways	Variable	Truncated protein in M. bovis AF2122/97	NE	NE
Mb2118c	Rv2091c	-	cell wall and cell processes	Identical		NE	NE
Mb2119c	Rv2092c	helY	information pathways	Variable	Non-syn SNP(s)	NE	NE
Mb2120c	Rv2093c	tatC	cell wall and cell processes	Identical		NE	GD
Mb2121c	Rv2094c	tatA	cell wall and cell processes	Identical		NE	NE
Mb2122c	Rv2095c	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb2123c	Rv2096c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb2124c	Rv2097c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb2125c	Rv2099c	PE_PGRS36	PE/PPE	Variable	Base insertion(s) leading to gene fusion event in M. bovis	NE	0
Mb2126	Rv2100	-	Conserved hypothetical protein	Identical		NE	NE
Mb2127	Rv2101	helZ	information pathways	Variable	Non-syn SNP(s)	NE	NE
Mb2128	Rv2102	-	Conserved hypothetical protein	Identical		NE	NE
Mb2129c	Rv2103c	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb2130c	Rv2104c	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb2131	Rv2107	PE22	PE/PPE	Identical		NE	NE
Mb2132	Rv2108	PPE36	PE/PPE	Identical		ES	NE
Mb2133c	Rv2109c	prcA	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	ES	GD
Mb2134c	Rv2110c	prcB	intermediate metabolism and respiration	Identical		ES	GD
Mb2135c	Rv2111c	-	intermediate metabolism and respiration	Identical		NE	GD
Mb2136c	Rv2112c	-	conserved hypotheticals	Variable	Truncated protein in M. bovis AF2122/97	NE	NE
Mb2137	Rv2113	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	GA
Mb2138	Rv2114	-	Conserved hypothetical protein	Identical		NE	GA
Mb2139c	Rv2115c	-	cell wall and cell processes	Identical		NE	NE
Mb2140	Rv2116	lppK	cell wall and cell processes	Identical		NE	NE
Mb2141	Rv2117	-	Conserved hypothetical protein	Identical		NE	NE
Mb2142c	Rv2118c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb2143	Rv2119	-	Conserved hypothetical protein	Identical		NE	NE
Mb2144c	Rv2120c	-	cell wall and cell processes	Identical		GD	NE
Mb2145c	Rv2121c	hisG	intermediate metabolism and respiration	Identical		GD	ES
Mb2146c	Rv2122c	hisE	intermediate metabolism and respiration	Identical		NE	ES
Mb2147	Rv2123	PPE37	PE/PPE	Variable	Truncated protein in M. bovis	NE	NE
Mb2148c	Rv2124c	metH	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb2149	Rv2125	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb2150c	Rv2126c	-	PE/PPE	Identical		NE	NE
Mb2151	Rv2127	ansP1	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb2152	Rv2128	-	cell wall and cell processes	Identical		NE	NE
Mb2153c	Rv2129c	-	intermediate metabolism and respiration	Identical		ES	NE
Mb2154c	Rv2130c	cysS2	intermediate metabolism and respiration	Identical		NE	GD
Mb2155c	Rv2131c	cysQ	intermediate metabolism and respiration	Identical		NE	NE
Mb2156	Rv2132	-	Conserved hypothetical protein	Identical		NE	NE
Mb2157c	Rv2133c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2158c	Rv2134c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2159c	Rv2135c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2160c	Rv2136c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb2161c	Rv2137c	-	Conserved hypothetical protein	Identical		ES	NE
Mb2162	Rv2138	lppL	cell wall and cell processes	Identical		ES	GD
Mb2163	Rv2139	pyrD	intermediate metabolism and respiration	Identical		NE	ES
Mb2164c	Rv2140c	TB18.6	virulence, detoxification,adaptation	Identical		NE	NE
Mb2165c	Rv2141c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb2166A	Rv2142A	len: 71 aa. Equivalent to Rv2142A len: 71 aa	virulence, detoxification,adaptation	Identical		NE	GA
Mb2166c	Rv2142c	-	virulence, detoxification,adaptation	Identical		NE	GA
Mb2167	Rv2143	-	Conserved hypothetical protein	Identical		NE	GA
Mb2168c	Rv2144c	-	cell wall and cell processes	Identical		ES	GA
Mb2169c	Rv2145c	wag31	cell wall and cell processes	Identical		NE	ES
Mb2170c	Rv2146c	-	cell wall and cell processes	Identical		ES	NE
Mb2171c	Rv2147c	-	Conserved hypothetical protein	Identical		NE	ES
Mb2172c	Rv2148c	-	Conserved hypothetical protein	Identical		NE	NE
Mb2173c	Rv2149c	yfiH	virulence, detoxification,adaptation	Identical		ES	NE
Mb2174c	Rv2150c	ftsZ	cell wall and cell processes	Identical		ES	ES
Mb2175c	Rv2151c	ftsQ	cell wall and cell processes	Identical		ES	NE
Mb2176c	Rv2152c	murC	cell wall and cell processes	Identical		ES	ES
Mb2177c	Rv2153c	murG	cell wall and cell processes	Variable	Non-syn SNP(s)	ES	ES
Mb2178c	Rv2154c	ftsW	cell wall and cell processes	Identical		ES	ES
Mb2179c	Rv2155c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	ES	ES
Mb2180c	Rv2156c	murX	cell wall and cell processes	Identical		ES	ES
Mb2181c	Rv2157c	murF	cell wall and cell processes	Identical		ES	ES
Mb2182c	Rv2158c	murE	cell wall and cell processes	Identical		NE	ES
